DEBUG 2024-12-30 12:29:27,155 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1734592819.7486594
DEBUG 2024-12-30 12:29:27,156 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\django\db\models\fields\json.py first seen with mtime 1734592819.842705
DEBUG 2024-12-30 12:29:27,156 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\pandas\core\arrays\_mixins.py first seen with mtime 1734592884.1389432
DEBUG 2024-12-30 12:29:27,157 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\pandas\core\api.py first seen with mtime 1734592884.1189437
DEBUG 2024-12-30 12:29:27,158 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1734592819.9090078
DEBUG 2024-12-30 12:29:27,158 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\numpy\random\_pickle.py first seen with mtime 1734592878.864776
DEBUG 2024-12-30 12:29:27,159 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\stats\_constants.py first seen with mtime 1734661413.453559
DEBUG 2024-12-30 12:29:27,159 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\integrate\_quadrature.py first seen with mtime 1734661412.5900671
DEBUG 2024-12-30 12:29:27,160 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\optimize\_shgo_lib\_complex.py first seen with mtime 1734661413.0529456
DEBUG 2024-12-30 12:29:27,161 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\numpy\f2py\__init__.py first seen with mtime 1734592878.7127519
